CMDLINE python main.py
MEM 66.921875 1704892722.6626
MEM 66.925781 1704892722.7634
MEM 66.925781 1704892722.8643
MEM 66.925781 1704892722.9651
MEM 66.925781 1704892723.0665
MEM 66.925781 1704892723.1675
MEM 66.925781 1704892723.2691
MEM 66.925781 1704892723.3699
MEM 66.925781 1704892723.4708
MEM 66.925781 1704892723.5718
MEM 66.925781 1704892723.6727
MEM 66.925781 1704892723.7735
MEM 66.925781 1704892723.8741
MEM 66.925781 1704892723.9754
MEM 66.925781 1704892724.0763
MEM 66.925781 1704892724.1771
MEM 66.925781 1704892724.2780
MEM 66.925781 1704892724.3788
MEM 66.925781 1704892724.4801
MEM 66.925781 1704892724.5808
MEM 66.925781 1704892724.6820
MEM 66.925781 1704892724.7829
MEM 66.925781 1704892724.8837
MEM 66.925781 1704892724.9851
MEM 66.925781 1704892725.0861
MEM 66.925781 1704892725.1867
MEM 66.925781 1704892725.2879
MEM 66.925781 1704892725.3885
MEM 66.925781 1704892725.4895
MEM 66.925781 1704892725.5901
MEM 66.925781 1704892725.6913
MEM 66.925781 1704892725.7916
MEM 66.925781 1704892725.8922
MEM 66.925781 1704892725.9935
MEM 66.929688 1704892726.0942
MEM 66.941406 1704892726.1946
MEM 66.964844 1704892726.2953
MEM 66.968750 1704892726.3961
MEM 66.968750 1704892726.4964
MEM 66.968750 1704892726.5974
MEM 66.968750 1704892726.6987
MEM 66.968750 1704892726.8002
MEM 66.968750 1704892726.9009
MEM 66.968750 1704892727.0022
MEM 66.968750 1704892727.1031
MEM 66.968750 1704892727.2042
MEM 66.968750 1704892727.3053
MEM 66.968750 1704892727.4063
MEM 66.968750 1704892727.5068
MEM 66.968750 1704892727.6074
MEM 66.968750 1704892727.7083
MEM 66.968750 1704892727.8089
MEM 66.968750 1704892727.9094
MEM 66.968750 1704892728.0100
MEM 66.968750 1704892728.1109
MEM 66.968750 1704892728.2122
MEM 66.968750 1704892728.3137
MEM 66.968750 1704892728.4143
MEM 66.968750 1704892728.5148
MEM 66.968750 1704892728.6151
MEM 66.968750 1704892728.7158
MEM 66.968750 1704892728.8172
MEM 66.968750 1704892728.9182
MEM 66.968750 1704892729.0188
MEM 66.968750 1704892729.1195
MEM 66.968750 1704892729.2205
MEM 66.968750 1704892729.3215
MEM 66.968750 1704892729.4229
MEM 66.968750 1704892729.5241
MEM 66.968750 1704892729.6246
MEM 66.968750 1704892729.7256
MEM 66.968750 1704892729.8265
MEM 66.968750 1704892729.9275
MEM 66.968750 1704892730.0285
MEM 66.968750 1704892730.1295
MEM 66.968750 1704892730.2311
MEM 66.968750 1704892730.3317
MEM 66.968750 1704892730.4330
MEM 66.968750 1704892730.5344
MEM 66.968750 1704892730.6349
MEM 66.968750 1704892730.7355
MEM 66.968750 1704892730.8365
MEM 66.968750 1704892730.9372
MEM 66.968750 1704892731.0380
MEM 66.968750 1704892731.1385
MEM 66.968750 1704892731.2392
MEM 66.968750 1704892731.3399
MEM 66.968750 1704892731.4404
MEM 66.968750 1704892731.5410
MEM 66.968750 1704892731.6418
MEM 66.968750 1704892731.7422
MEM 66.968750 1704892731.8429
MEM 66.968750 1704892731.9435
MEM 66.968750 1704892732.0446
MEM 66.968750 1704892732.1454
MEM 66.968750 1704892732.2463
MEM 66.968750 1704892732.3473
MEM 66.968750 1704892732.4481
MEM 66.968750 1704892732.5486
MEM 66.968750 1704892732.6494
MEM 66.968750 1704892732.7500
MEM 66.968750 1704892732.8507
MEM 66.968750 1704892732.9509
MEM 66.968750 1704892733.0519
MEM 66.968750 1704892733.1525
MEM 66.968750 1704892733.2535
MEM 66.968750 1704892733.3541
MEM 66.968750 1704892733.4546
MEM 66.968750 1704892733.5549
MEM 66.968750 1704892733.6558
MEM 66.968750 1704892733.7561
MEM 66.968750 1704892733.8574
MEM 66.968750 1704892733.9583
MEM 66.968750 1704892734.0593
MEM 66.968750 1704892734.1597
MEM 66.968750 1704892734.2606
MEM 66.968750 1704892734.3616
MEM 66.968750 1704892734.4627
MEM 66.968750 1704892734.5631
MEM 66.968750 1704892734.6640
MEM 66.968750 1704892734.7642
MEM 66.968750 1704892734.8644
MEM 66.968750 1704892734.9647
MEM 66.968750 1704892735.0655
MEM 66.968750 1704892735.1665
MEM 66.968750 1704892735.2670
MEM 66.968750 1704892735.3675
MEM 66.968750 1704892735.4687
MEM 66.968750 1704892735.5701
MEM 66.968750 1704892735.6706
MEM 66.968750 1704892735.7718
MEM 66.968750 1704892735.8720
MEM 66.968750 1704892735.9722
MEM 66.968750 1704892736.0731
MEM 66.968750 1704892736.1746
MEM 66.968750 1704892736.2752
MEM 66.968750 1704892736.3756
MEM 66.968750 1704892736.4765
MEM 66.968750 1704892736.5777
MEM 66.968750 1704892736.6787
MEM 66.968750 1704892736.7789
MEM 66.968750 1704892736.8791
MEM 66.968750 1704892736.9800
MEM 66.972656 1704892737.0803
MEM 67.000000 1704892737.1814
MEM 67.000000 1704892737.2819
MEM 67.003906 1704892737.3822
MEM 67.003906 1704892737.4827
MEM 67.003906 1704892737.5834
MEM 67.003906 1704892737.6838
MEM 67.003906 1704892737.7842
MEM 67.003906 1704892737.8847
MEM 67.003906 1704892737.9857
MEM 67.003906 1704892738.0863
MEM 67.003906 1704892738.1868
MEM 67.003906 1704892738.2878
MEM 67.003906 1704892738.3886
MEM 67.003906 1704892738.4891
MEM 67.003906 1704892738.5895
MEM 67.003906 1704892738.6905
MEM 67.003906 1704892738.7917
MEM 67.003906 1704892738.8926
MEM 67.003906 1704892738.9936
MEM 67.003906 1704892739.0944
MEM 67.003906 1704892739.1957
MEM 67.003906 1704892739.2962
MEM 67.003906 1704892739.3967
MEM 67.003906 1704892739.4977
MEM 67.003906 1704892739.5988
MEM 67.003906 1704892739.6996
MEM 67.003906 1704892739.8008
MEM 67.003906 1704892739.9023
MEM 67.003906 1704892740.0034
MEM 67.003906 1704892740.1049
MEM 67.003906 1704892740.2053
MEM 67.003906 1704892740.3069
MEM 67.003906 1704892740.4075
MEM 67.003906 1704892740.5084
MEM 67.003906 1704892740.6091
MEM 67.003906 1704892740.7101
MEM 67.003906 1704892740.8112
MEM 67.003906 1704892740.9117
MEM 67.003906 1704892741.0124
MEM 67.003906 1704892741.1134
MEM 67.003906 1704892741.2142
MEM 67.003906 1704892741.3151
MEM 67.003906 1704892741.4158
MEM 67.003906 1704892741.5161
MEM 67.003906 1704892741.6173
MEM 67.003906 1704892741.7186
MEM 67.003906 1704892741.8192
MEM 67.003906 1704892741.9196
MEM 67.003906 1704892742.0203
MEM 67.003906 1704892742.1212
MEM 67.003906 1704892742.2220
MEM 67.003906 1704892742.3233
MEM 67.003906 1704892742.4242
MEM 67.003906 1704892742.5248
MEM 67.003906 1704892742.6257
MEM 67.003906 1704892742.7265
MEM 67.003906 1704892742.8269
MEM 67.007812 1704892742.9276
MEM 67.007812 1704892743.0283
MEM 67.031250 1704892743.1286
MEM 67.031250 1704892743.2291
MEM 67.031250 1704892743.3300
